REGULAR RARES AND REGULAR MYTHIC RARES PRICES

To search for a card type control+f
Bot accounts: pisiiki3, supernova01, bifidus, ComparePrices, tina16, mteamtester, supernova02, pisiiki2

Name                                               Buy       Sell      Bot Account[Stock Available]
Draining Whelk [TSP]                               0.038     0.07      tina16[1]
Magus of the Candelabra [TSP]                      0.04
Mishra, Artificer Prodigy [TSP]                    0.044     0.078     pisiiki3[1] bifidus[1]
Sudden Spoiling [TSP]                              0.044     0.078     supernova02[1] mteamtester[2]
Walk the Aeons [TSP]                                         0.084     mteamtester[1] pisiiki3[1] tina16[2] bifidus[2] pisiiki2[1]
Stuffy Doll [TSP]                                            0.092     supernova01[1] supernova02[1] pisiiki3[1] mteamtester[4]
Serra Avenger [TSP]                                0.056
Restore Balance [TSP]                              0.058
Saffi Eriksdotter [TSP]                            0.062
Greater Gargadon [TSP]                                       0.11      bifidus[1] supernova02[1] tina16[1] ComparePrices[1] pisiiki2[3]
Swarmyard [TSP]                                    0.064     0.115     bifidus[1]
Bogardan Hellkite [TSP]                            0.1
Trickbind [TSP]                                    0.115     0.155     pisiiki2[1]
Angel's Grace [TSP]                                          0.16      supernova02[4] tina16[1] pisiiki3[1] pisiiki2[1]
Flagstones of Trokair [TSP]                        0.23      0.31      supernova01[1]
Gauntlet of Power [TSP]                            0.34
Teferi, Mage of Zhalfir [TSP]                      0.46
Academy Ruins [TSP]                                0.52      0.7       mteamtester[2] supernova01[4]
Lotus Bloom [TSP]                                  0.78      1.05      tina16[1] pisiiki2[2] mteamtester[1]
Living End [TSP]                                   1.15
Ancestral Vision [TSP]                             1.65
Vesuva [TSP]                                       2.05      2.4       mteamtester[2]

=== Timeshifted === [Total Buy/Sell Value: 14/20] ================================================================================================

Jasmine Boreal [TSB]                                         0.016     bifidus[1] pisiiki3[3] ComparePrices[3]
Dandân [TSB]                                                 0.016     supernova02[1] pisiiki2[4]
Defiant Vanguard [TSB]                                       0.018     mteamtester[1] supernova01[2] ComparePrices[4]
Goblin Snowman [TSB]                                         0.02      ComparePrices[3] supernova01[1] pisiiki3[3]
Flying Men [TSB]                                   0.008     0.02      ComparePrices[2] supernova01[1]
Nicol Bolas [TSB]                                  0.009     0.02      pisiiki3[4]
Gaea's Blessing [TSB]                              0.009     0.022     bifidus[2] pisiiki3[2]
Thornscape Battlemage [TSB]                        0.009     0.022     ComparePrices[3]
Disenchant [TSB]                                   0.009
Orgg [TSB]                                         0.01      0.022     bifidus[2]
Dragon Whelp [TSB]                                 0.01      0.022     ComparePrices[4]
Craw Giant [TSB]                                   0.01      0.022     supernova02[1] ComparePrices[2]
Shadow Guildmage [TSB]                             0.01      0.022     supernova01[1]
Soul Collector [TSB]                               0.01      0.022     bifidus[1] mteamtester[3] supernova01[1] ComparePrices[1]
Void [TSB]                                         0.01      0.022     bifidus[1]
Claws of Gix [TSB]                                 0.01
Whirling Dervish [TSB]                             0.01      0.022     supernova01[4]
Arena [TSB]                                        0.01      0.024     bifidus[1] pisiiki2[3] supernova01[1] ComparePrices[1]
Orcish Librarian [TSB]                             0.01      0.024     pisiiki2[2]
Witch Hunter [TSB]                                 0.01      0.024     pisiiki3[2] tina16[1]
Desolation Giant [TSB]                             0.01      0.024     ComparePrices[2] supernova02[2] mteamtester[1] bifidus[1]
Honorable Passage [TSB]                            0.01      0.024     supernova01[1] bifidus[1] tina16[1] pisiiki2[1]
Grinning Totem [TSB]                               0.01      0.024     bifidus[1] pisiiki2[1]
Kobold Taskmaster [TSB]                            0.01      0.024     supernova01[1]
Gaea's Liege [TSB]                                 0.012     0.026     pisiiki2[2] supernova01[1]
Krosan Cloudscraper [TSB]                          0.012     0.026     pisiiki3[1] mteamtester[1] supernova01[2]
Voidmage Prodigy [TSB]                             0.012     0.026     supernova01[2] bifidus[1] mteamtester[1]
Auratog [TSB]                                      0.012     0.026     pisiiki2[2] mteamtester[1] pisiiki3[3]
Withered Wretch [TSB]                              0.01      0.024     ComparePrices[1] mteamtester[1] pisiiki2[1] bifidus[1]
Suq'Ata Lancer [TSB]                               0.012     0.026     ComparePrices[1] pisiiki2[2] bifidus[1] supernova01[1]
Hail Storm [TSB]                                             0.026     pisiiki2[1] mteamtester[1] pisiiki3[1] bifidus[1] supernova02[1] ComparePrices[4]
Zhalfirin Commander [TSB]                          0.012     0.026     supernova01[1] pisiiki2[2]
Safe Haven [TSB]                                   0.012     0.026     supernova02[3] bifidus[1] mteamtester[2]
Conspiracy [TSB]                                             0.026     supernova02[1] bifidus[1] pisiiki3[1] pisiiki2[4]
Stormbind [TSB]                                    0.012     0.028     tina16[1] bifidus[1] pisiiki2[1]
Giant Oyster [TSB]                                 0.014     0.028     pisiiki2[2] ComparePrices[2]
Teferi's Moat [TSB]                                0.014     0.03      tina16[1] mteamtester[1] pisiiki2[1] pisiiki3[1] bifidus[1] supernova01[1]
Willbender [TSB]                                   0.014     0.03      pisiiki2[1]
Sol'kanar the Swamp King [TSB]                     0.014     0.03      bifidus[2]
Spitting Slug [TSB]                                0.016     0.034     ComparePrices[3] supernova02[1]
Squire [TSB]                                       0.014     0.03      pisiiki2[1] supernova01[2] supernova02[1] ComparePrices[1]
Leviathan [TSB]                                    0.014     0.03      supernova01[2] bifidus[2]
Mystic Enforcer [TSB]                              0.014     0.032     bifidus[1] tina16[2]
Uthden Troll [TSB]                                 0.016     0.032     supernova01[1] supernova02[1]
Prodigal Sorcerer [TSB]                            0.016     0.032     pisiiki2[3] ComparePrices[1]
Undertaker [TSB]                                   0.016     0.032     ComparePrices[1] supernova01[2]
Valor [TSB]                                        0.014     0.03      ComparePrices[1] supernova01[2] mteamtester[2] bifidus[1]
Resurrection [TSB]                                 0.016     0.034     supernova02[2] mteamtester[1] pisiiki3[1]
Pandemonium [TSB]                                  0.016     0.034     supernova01[1] ComparePrices[2]
Enduring Renewal [TSB]                             0.016     0.034     pisiiki3[3] pisiiki2[1]
Call of the Herd [TSB]                             0.016     0.034     pisiiki2[1]
Verdeloth the Ancient [TSB]                        0.016     0.034     supernova01[1]
Uncle Istvan [TSB]                                 0.016     0.034     pisiiki2[1] bifidus[1] ComparePrices[2] supernova02[1]
Cockatrice [TSB]                                   0.018     0.036     supernova01[2] pisiiki3[1] ComparePrices[1] pisiiki2[1]
Pirate Ship [TSB]                                  0.018     0.036     supernova02[2]
Stupor [TSB]                                                 0.036     pisiiki3[4] bifidus[1]
Disintegrate [TSB]                                 0.018     0.036     bifidus[1]
Consecrate Land [TSB]                                        0.036     pisiiki3[2] pisiiki2[4] ComparePrices[2] bifidus[1]
Mirari [TSB]                                       0.018     0.038     supernova01[1]
Soltari Priest [TSB]                                         0.038     supernova02[2] pisiiki2[1] supernova01[4] mteamtester[1] ComparePrices[1]
Spike Feeder [TSB]                                 0.02      0.04      ComparePrices[1] supernova02[1] supernova01[1] mteamtester[1]
Sindbad [TSB]                                                0.04      pisiiki3[4] pisiiki2[2] supernova01[1]
Dodecapod [TSB]                                    0.02      0.04      pisiiki2[1] pisiiki3[3] bifidus[1] supernova02[1]
Ovinomancer [TSB]                                  0.02      0.04      mteamtester[2] ComparePrices[1] bifidus[2]
Avatar of Woe [TSB]                                0.02      0.04      pisiiki3[1] pisiiki2[4]
Hunting Moa [TSB]                                  0.02      0.04      supernova01[1]
Jolrael, Empress of Beasts [TSB]                   0.02      0.042     supernova02[1] ComparePrices[1] supernova01[1]
Tribal Flames [TSB]                                0.022     0.042     supernova02[1] pisiiki3[3] mteamtester[1] ComparePrices[1]
Eron the Relentless [TSB]                          0.022     0.044     mteamtester[1] ComparePrices[1] pisiiki3[1] supernova02[1] bifidus[1]
Dauthi Slayer [TSB]                                0.022     0.044     pisiiki3[1] ComparePrices[1] supernova01[2] pisiiki2[2]
Mistform Ultimus [TSB]                             0.022     0.044     supernova01[1] pisiiki2[1]
Thallid [TSB]                                      0.024     0.046     supernova02[1] bifidus[1]
Celestial Dawn [TSB]                               0.024     0.046     tina16[1] bifidus[1] mteamtester[1] ComparePrices[1]
Sengir Autocrat [TSB]                              0.024     0.046     pisiiki3[4]
Fiery Justice [TSB]                                0.024     0.046     tina16[1] bifidus[1]
Fire Whip [TSB]                                    0.024     0.046     mteamtester[2] supernova02[1] ComparePrices[1]
Assault/Battery [TSB]                              0.024     0.046     supernova02[1] ComparePrices[1] pisiiki2[1] tina16[1]
Psionic Blast [TSB]                                0.024     0.048     bifidus[1]
Swamp Mosquito [TSB]                               0.024     0.048     mteamtester[1] pisiiki2[2]
Merfolk Assassin [TSB]                             0.026     0.048     tina16[1] pisiiki3[1] supernova01[4]
Wildfire Emissary [TSB]                            0.026     0.048     pisiiki2[1] bifidus[1] supernova01[1] ComparePrices[1]
Feldon's Cane [TSB]                                0.026     0.05      pisiiki2[2] pisiiki3[1]
Vhati il-Dal [TSB]                                 0.026     0.05      tina16[1] mteamtester[1]
Ghost Ship [TSB]                                   0.028
Spined Sliver [TSB]                                0.028     0.054     ComparePrices[1]
Stormscape Familiar [TSB]                          0.028     0.054     pisiiki2[1] supernova01[1]
Coalition Victory [TSB]                            0.028     0.054     bifidus[1] pisiiki2[1] ComparePrices[1] tina16[1] supernova02[1]
Desert [TSB]                                       0.03      0.056     bifidus[1]
Unstable Mutation [TSB]                            0.03
Evil Eye of Orms-by-Gore [TSB]                     0.03
Scragnoth [TSB]                                    0.03      0.058     supernova01[1]
Sacred Mesa [TSB]                                  0.03
War Barge [TSB]                                    0.03      0.058     tina16[1] pisiiki2[3]
Moorish Cavalry [TSB]                              0.032     0.062     ComparePrices[1] supernova01[1]
Avoid Fate [TSB]                                   0.032     0.062     tina16[1]
Darkness [TSB]                                     0.034
Twisted Abomination [TSB]                          0.036     0.066     supernova02[1]
Faceless Butcher [TSB]                             0.036     0.066     supernova01[1] supernova02[1]
Fiery Temper [TSB]                                 0.036     0.068     ComparePrices[1]
Mindless Automaton [TSB]                           0.038     0.07      mteamtester[1]
Merieke Ri Berit [TSB]                             0.038
Whispers of the Muse [TSB]                                   0.082     pisiiki2[3] supernova02[2] pisiiki3[1] supernova01[1]
Undead Warchief [TSB]                              0.056     0.1       bifidus[1] pisiiki3[1]
Dragonstorm [TSB]                                  0.064     0.11      pisiiki2[1] mteamtester[1] bifidus[1] tina16[1] pisiiki3[1]
Icatian Javelineers [TSB]                          0.064
Browbeat [TSB]                                     0.11      0.15      mteamtester[1]
Tormod's Crypt [TSB]                                         0.165     tina16[1] supernova02[1] ComparePrices[1] mteamtester[2] bifidus[2]
Lightning Angel [TSB]                              0.135
Akroma, Angel of Wrath [TSB]                       0.25      0.34      tina16[1] mteamtester[1]
Wall of Roots [TSB]                                0.25
Shadowmage Infiltrator [TSB]                       0.26      0.35      ComparePrices[1] mteamtester[1] tina16[1]
Bad Moon [TSB]                                     0.28      0.38      bifidus[1] ComparePrices[1] supernova02[1] supernova01[1]
Funeral Charm [TSB]                                0.29      0.4       tina16[1]
Essence Sliver [TSB]                               0.34      0.44      tina16[1]
Mystic Snake [TSB]                                 0.34
Avalanche Riders [TSB]                             0.48
Pendelhaven [TSB]                                  0.56      0.74      pisiiki2[1] supernova01[1] pisiiki3[1]
The Rack [TSB]                                     0.86
Gemstone Mine [TSB]                                1.65
Lord of Atlantis [TSB]                             1.85
Serrated Arrows [TSB]                              4.95      6.1       supernova01[4]

=== Planar Chaos === [Total Buy/Sell Value: 14/19] ===============================================================================================

Torchling [PLC]                                    0.009     0.022     pisiiki3[1] ComparePrices[1]
Imp's Mischief [PLC]                               0.01
Serra Sphinx [PLC]                                 0.01      0.024     pisiiki2[1] supernova01[1]
Spellshift [PLC]                                   0.01      0.024     ComparePrices[1] pisiiki2[1] bifidus[2]
Detritivore [PLC]                                  0.012     0.026     pisiiki2[1]
Numot, the Devastator [PLC]                        0.012     0.026     ComparePrices[4] supernova02[1]
Roiling Horror [PLC]                               0.012     0.026     bifidus[1] ComparePrices[1] pisiiki3[1]
Intet, the Dreamer [PLC]                           0.012
Dichotomancy [PLC]                                 0.012     0.028     supernova01[1] supernova02[2]
Shivan Wumpus [PLC]                                0.012     0.028     bifidus[1] supernova01[1] supernova02[1]
Molten Firebird [PLC]                              0.014     0.03      ComparePrices[1] supernova02[2] pisiiki2[1]
Magus of the Arena [PLC]                           0.014     0.03      bifidus[1] pisiiki2[1] supernova02[1]
Groundbreaker [PLC]                                0.014     0.03      ComparePrices[2] pisiiki2[1]
Heroes Remembered [PLC]                            0.014     0.03      ComparePrices[1] mteamtester[1]
Magus of the Library [PLC]                         0.014     0.03      pisiiki2[1] ComparePrices[1]
Life and Limb [PLC]                                0.014     0.03      pisiiki2[2] pisiiki3[1] supernova01[2]
Benalish Commander [PLC]                           0.014     0.032     supernova02[4]
Magus of the Coffers [PLC]                         0.014     0.032     ComparePrices[1] pisiiki2[1] mteamtester[1]
Null Profusion [PLC]                               0.016     0.032     bifidus[1] mteamtester[1]
Fungal Behemoth [PLC]                              0.016     0.032     supernova01[1] pisiiki2[1] ComparePrices[1]
Volcano Hellion [PLC]                              0.016     0.034     supernova01[1] pisiiki3[1] supernova02[1]
Oros, the Avenger [PLC]                            0.016     0.034     pisiiki3[1] ComparePrices[1]
Radha, Heir to Keld [PLC]                          0.016     0.034     bifidus[1]
Fatal Frenzy [PLC]                                 0.018     0.036     pisiiki3[1] supernova02[1]
Magus of the Tabernacle [PLC]                      0.018
Dust Elemental [PLC]                               0.018     0.036     tina16[1]
Wild Pair [PLC]                                    0.018     0.036     supernova02[4] pisiiki2[1] mteamtester[1]
Magus of the Bazaar [PLC]                          0.018
Voidstone Gargoyle [PLC]                           0.018     0.038     ComparePrices[1]
Jedit Ojanen of Efrava [PLC]                       0.02      0.04      pisiiki3[2] supernova01[1] tina16[1] ComparePrices[1]
Vorosh, the Hunter [PLC]                           0.022     0.042     pisiiki2[1]
Timbermare [PLC]                                   0.022     0.042     pisiiki2[4] supernova02[1]
Crovax, Ascendant Hero [PLC]                       0.024     0.048     bifidus[1]
Porphyry Nodes [PLC]                               0.026
Retether [PLC]                                     0.03      0.056     ComparePrices[1]
Mirri the Cursed [PLC]                             0.034
Aeon Chronicler [PLC]                              0.034     0.062     ComparePrices[1]
Teneb, the Harvester [PLC]                         0.038     0.07      pisiiki2[1] supernova02[2] bifidus[2] pisiiki3[1]
Mesa Enchantress [PLC]                             0.04      0.074     pisiiki2[1] supernova01[1] ComparePrices[1] supernova02[1] tina16[1]
Serendib Sorcerer [PLC]                            0.04      0.074     mteamtester[3] tina16[1]
Braids, Conjurer Adept [PLC]                       0.044     0.08      tina16[1] supernova01[1] supernova02[1] mteamtester[1]
Chronozoa [PLC]                                    0.044     0.08      supernova02[1]
Temporal Extortion [PLC]                           0.092     0.125     pisiiki3[1] pisiiki2[2]
Gaea's Anthem [PLC]                                0.145     0.2       tina16[1] ComparePrices[1]
Akroma, Angel of Fury [PLC]                                  0.2       mteamtester[1] ComparePrices[2] supernova01[1] bifidus[1] supernova02[2]
Body Double [PLC]                                  0.175     0.24      bifidus[1] tina16[1]
Boom/Bust [PLC]                                    0.4
Extirpate [PLC]                                    0.48
Urborg, Tomb of Yawgmoth [PLC]                     3.85
Damnation [PLC]                                    8.7

=== Future Sight === [Total Buy/Sell Value: 104/121] =============================================================================================

Imperial Mask [FUT]                                0.01      0.022     ComparePrices[1] supernova02[1]
Magus of the Abyss [FUT]                                     0.024     mteamtester[1] pisiiki3[1] supernova02[2] supernova01[2] pisiiki2[1]
Oriss, Samite Guardian [FUT]                       0.012     0.028     tina16[4]
Nix [FUT]                                                    0.03      pisiiki3[2] supernova01[2] mteamtester[1] supernova02[1] tina16[1]
Molten Disaster [FUT]                              0.014     0.03      mteamtester[1]
Thunderblade Charge [FUT]                          0.014     0.032     bifidus[1] ComparePrices[1] supernova01[1]
Muraganda Petroglyphs [FUT]                        0.014     0.032     mteamtester[1]
Shah of Naar Isle [FUT]                            0.014     0.032     bifidus[1] ComparePrices[2]
Barren Glory [FUT]                                 0.016     0.032     supernova01[1] bifidus[1] pisiiki3[1]
Maelstrom Djinn [FUT]                              0.016     0.034     mteamtester[2]
Whetwheel [FUT]                                    0.016     0.034     mteamtester[1] tina16[2]
Gibbering Descent [FUT]                            0.018     0.036     mteamtester[1] bifidus[2] pisiiki2[3]
Quagnoth [FUT]                                     0.018     0.036     pisiiki2[1]
Scout's Warning [FUT]                              0.02      0.038     pisiiki2[1]
Linessa, Zephyr Mage [FUT]                         0.02      0.04      bifidus[1]
Darksteel Garrison [FUT]                           0.02      0.04      supernova01[1] pisiiki2[3]
Force of Savagery [FUT]                            0.02
Steamflogger Boss [FUT]                            0.022     0.042     tina16[1] pisiiki2[1]
Spellweaver Volute [FUT]                           0.022     0.044     supernova01[1] pisiiki2[1]
Baru, Fist of Krosa [FUT]                          0.024     0.046     pisiiki3[1] bifidus[1] supernova02[1] supernova01[1] pisiiki2[2]
Nihilith [FUT]                                     0.024
Seht's Tiger [FUT]                                 0.024     0.046     pisiiki2[1] ComparePrices[3] bifidus[1]
Magus of the Vineyard [FUT]                        0.028
Shapeshifter's Marrow [FUT]                        0.03      0.056     pisiiki3[1] tina16[1] mteamtester[1]
Veilstone Amulet [FUT]                             0.03
Scourge of Kher Ridges [FUT]                       0.032     0.06      supernova01[1]
Take Possession [FUT]                              0.036     0.068     pisiiki3[1]
Angel of Salvation [FUT]                           0.036     0.068     bifidus[2] ComparePrices[1]
Tarox Bladewing [FUT]                              0.042     0.076     pisiiki2[1]
Rites of Flourishing [FUT]                         0.052
Magus of the Moat [FUT]                            0.054     0.096     bifidus[1] supernova02[2]
Heartwood Storyteller [FUT]                        0.11      0.15      supernova02[1] tina16[1] supernova01[1]
Intervention Pact [FUT]                            0.15
Bitter Ordeal [FUT]                                0.16      0.22      supernova02[1] mteamtester[1] bifidus[1] pisiiki3[1]
Magus of the Future [FUT]                          0.195     0.26      bifidus[1]
Shimian Specter [FUT]                              0.2       0.28      ComparePrices[3] tina16[2]
Pact of the Titan [FUT]                            0.26      0.35      ComparePrices[1] pisiiki3[4]
Pyromancer's Swath [FUT]                           0.29
Epochrasite [FUT]                                  0.31      0.4       supernova01[2] ComparePrices[1] bifidus[1]
Jhoira of the Ghitu [FUT]                          0.34      0.46      supernova01[1]
Nimbus Maze [FUT]                                  0.4       0.54      tina16[1]
River of Tears [FUT]                               0.48      0.64      ComparePrices[1] mteamtester[1]
Slaughter Pact [FUT]                               0.54      0.72      ComparePrices[1] pisiiki2[2] mteamtester[1] tina16[2]
Graven Cairns [FUT]                                0.58
Tombstalker [FUT]                                  0.62      0.82      bifidus[1] pisiiki2[3]
Bridge from Below [FUT]                            0.74      1         pisiiki2[2] bifidus[4]
Glittering Wish [FUT]                              0.84
Cloud Key [FUT]                                    0.92
Korlash, Heir to Blackblade [FUT]                  1
Akroma's Memorial [FUT]                            1.15
Coalition Relic [FUT]                              1.5       1.85      supernova01[1] bifidus[2]
Sliver Legion [FUT]                                1.7
Pact of Negation [FUT]                                       2.25      supernova02[4] supernova01[1] tina16[2]
Summoner's Pact [FUT]                                        2.4       mteamtester[4] supernova02[1] ComparePrices[1] pisiiki2[1]
Venser, Shaper Savant [FUT]                        2.5
Magus of the Moon [FUT]                            3.6
Daybreak Coronet [FUT]                             7.25
Horizon Canopy [FUT]                               9.65
Grove of the Burnwillows [FUT]                     11.2
Tarmogoyf [FUT]                                    53.5      59.5      pisiiki3[1] ComparePrices[1] bifidus[2]

=== Lorwyn === [Total Buy/Sell Value: 55/64] =====================================================================================================

Colfenor's Urn [LRW]                               0.01      0.022     supernova01[2] bifidus[2]
Favor of the Mighty [LRW]                          0.01      0.022     supernova01[2] pisiiki3[1] bifidus[1]
Knucklebone Witch [LRW]                            0.01      0.022     ComparePrices[1]
Wanderwine Prophets [LRW]                          0.01      0.024     supernova02[1]
Cairn Wanderer [LRW]                               0.01      0.024     supernova02[3] ComparePrices[1] mteamtester[2]
Colfenor's Plans [LRW]                             0.01      0.024     pisiiki3[3] supernova02[2]
Hoofprints of the Stag [LRW]                       0.012     0.026     ComparePrices[2] bifidus[1] pisiiki2[1] tina16[1]
Epic Proportions [LRW]                             0.012     0.026     supernova01[2]
Eyes of the Wisent [LRW]                           0.012
Hamletback Goliath [LRW]                           0.012     0.026     pisiiki2[1] ComparePrices[1] supernova01[1]
Horde of Notions [LRW]                             0.012     0.026     mteamtester[4]
Arbiter of Knollridge [LRW]                        0.012     0.026     pisiiki2[1] supernova01[1] pisiiki3[1]
Guile [LRW]                                        0.012     0.028     pisiiki2[2] pisiiki3[1]
Fathom Trawl [LRW]                                 0.014     0.028     pisiiki2[1]
Heat Shimmer [LRW]                                 0.014     0.028     bifidus[2] pisiiki2[2] pisiiki3[2]
Forced Fruition [LRW]                              0.014     0.028     supernova02[2] bifidus[1] supernova01[1]
Nova Chaser [LRW]                                  0.014     0.03      bifidus[1]
Wydwen, the Biting Gale [LRW]                      0.014     0.03      tina16[1]
Surgespanner [LRW]                                 0.014     0.032     ComparePrices[1]
Sygg, River Guide [LRW]                            0.016     0.032     supernova02[1]
Nath of the Gilt-Leaf [LRW]                        0.018     0.036     ComparePrices[4]
Dread [LRW]                                        0.018     0.036     ComparePrices[1] pisiiki3[3] mteamtester[1]
Thoughtweft Trio [LRW]                             0.018     0.036     supernova02[1] pisiiki2[1]
Masked Admirers [LRW]                              0.018     0.036     ComparePrices[1]
Twinning Glass [LRW]                               0.018     0.038     ComparePrices[1]
Brion Stoutarm [LRW]                               0.02
Sunrise Sovereign [LRW]                            0.02
Mad Auntie [LRW]                                   0.02
Ancient Amphitheater [LRW]                         0.02
Ashling the Pilgrim [LRW]                          0.02      0.042     pisiiki2[1] mteamtester[1]
Hostility [LRW]                                    0.022     0.044     mteamtester[1] tina16[1] pisiiki2[1] bifidus[1]
Ashling's Prerogative [LRW]                        0.024
Incendiary Command [LRW]                           0.026     0.048     ComparePrices[1]
Nettlevine Blight [LRW]                            0.026     0.048     pisiiki2[1]
Wren's Run Packmaster [LRW]                        0.026     0.05      tina16[1] mteamtester[1]
Howltooth Hollow [LRW]                             0.026
Boggart Mob [LRW]                                  0.026     0.05      tina16[1]
Shapesharer [LRW]                                  0.026     0.052     supernova02[1] supernova01[1]
Purity [LRW]                                       0.028
Militia's Pride [LRW]                              0.03      0.056     ComparePrices[1] supernova02[1]
Shelldock Isle [LRW]                               0.03
Brigid, Hero of Kinsbaile [LRW]                    0.03
Wort, Boggart Auntie [LRW]                         0.032
Wild Ricochet [LRW]                                0.034
Galepowder Mage [LRW]                              0.036     0.066     supernova02[1]
Dolmen Gate [LRW]                                  0.036
Cloudthresher [LRW]                                0.04      0.074     ComparePrices[1]
Deathrender [LRW]                                  0.046     0.082     bifidus[1] ComparePrices[1] supernova01[2]
Dauntless Dourbark [LRW]                           0.056     0.1       ComparePrices[2] pisiiki2[1]
Secluded Glen [LRW]                                0.062
Spinerock Knoll [LRW]                              0.064
Incandescent Soulstoke [LRW]                       0.066     0.115     pisiiki3[2] supernova02[1]
Gilt-Leaf Palace [LRW]                             0.072     0.11      supernova01[2]
Oona's Prowler [LRW]                               0.074
Auntie's Hovel [LRW]                               0.066
Austere Command [LRW]                              0.098
Chandra Nalaar [LRW]                               0.1
Mirror Entity [LRW]                                0.12
Immaculate Magistrate [LRW]                        0.125
Rings of Brighthearth [LRW]                        0.135
Profane Command [LRW]                              0.155
Mosswort Bridge [LRW]                              0.17      0.23      ComparePrices[1] mteamtester[2] tina16[2]
Mistbind Clique [LRW]                              0.19
Vigor [LRW]                                        0.23
Scion of Oona [LRW]                                0.24
Timber Protector [LRW]                             0.27      0.37      supernova01[1] bifidus[1] pisiiki3[1]
Thousand-Year Elixir [LRW]                         0.33      0.44      supernova02[1] pisiiki3[1] pisiiki2[1]
Ajani Goldmane [LRW]                               0.38
Primal Command [LRW]                               0.4       0.54      bifidus[1] pisiiki3[1] mteamtester[3]
Liliana Vess [LRW]                                 0.44
Thorn of Amethyst [LRW]                            0.44
Sower of Temptation [LRW]                          0.62
Garruk Wildspeaker [LRW]                           1.05
Gaddock Teeg [LRW]                                 1.3
Wanderwine Hub [LRW]                               1.6
Jace Beleren [LRW]                                 1.7
Doran, the Siege Tower [LRW]                       2.9       3.45      pisiiki3[1] tina16[1] mteamtester[1] pisiiki2[2]
Windbrisk Heights [LRW]                            3
Cryptic Command [LRW]                              10.3
Thoughtseize [LRW]                                 27.5

=== Morningtide === [Total Buy/Sell Value: 69/80] ================================================================================================

Reach of Branches [MOR]                            0.01      0.024     mteamtester[3] supernova01[1]
Supreme Exemplar [MOR]                             0.012     0.026     pisiiki2[1] ComparePrices[1] mteamtester[1]
Auntie's Snitch [MOR]                              0.012     0.028     pisiiki2[1] mteamtester[2]
Battletide Alchemist [MOR]                         0.014     0.03      pisiiki2[2]
Fendeep Summoner [MOR]                             0.014     0.032     supernova02[1] bifidus[1] supernova01[1]
Borderland Behemoth [MOR]                          0.016     0.032     supernova01[1] pisiiki2[1]
Unstoppable Ash [MOR]                              0.016     0.032     mteamtester[1] supernova02[2]
Titan's Revenge [MOR]                              0.016
Weirding Shaman [MOR]                              0.016     0.034     bifidus[1]
Boldwyr Heavyweights [MOR]                         0.016     0.034     mteamtester[1]
Vengeful Firebrand [MOR]                           0.016
Stenchskipper [MOR]                                0.016
Scarblade Elite [MOR]                              0.016
Sigil Tracer [MOR]                                 0.018     0.036     pisiiki2[1]
Rustic Clachan [MOR]                               0.022     0.042     pisiiki2[1]
Notorious Throng [MOR]                             0.024     0.046     ComparePrices[2]
Primal Beyond [MOR]                                0.024     0.048     tina16[3] ComparePrices[1] pisiiki3[1] supernova01[1]
Greatbow Doyen [MOR]                               0.028     0.052     bifidus[1] pisiiki2[1] supernova02[1] supernova01[1]
Mind Shatter [MOR]                                 0.028
Mind Spring [MOR]                                  0.03      0.056     supernova02[1]
Indomitable Ancients [MOR]                         0.032     0.06      mteamtester[2] pisiiki3[1] supernova01[1] bifidus[1]
Slithermuse [MOR]                                  0.04      0.074     tina16[1]
Feudkiller's Verdict [MOR]                         0.044     0.08      ComparePrices[1]
Declaration of Naught [MOR]                        0.046     0.084     tina16[1] supernova02[1]
Maralen of the Mornsong [MOR]                      0.06      0.105     ComparePrices[1]
Earwig Squad [MOR]                                 0.062     0.11      pisiiki2[1]
Cream of the Crop [MOR]                            0.066     0.115     ComparePrices[1] supernova02[1] pisiiki3[1]
Kinsbaile Borderguard [MOR]                        0.072
Rhys the Exiled [MOR]                              0.086     0.12      bifidus[2] supernova01[2]
Stonehewer Giant [MOR]                             0.115     0.16      supernova01[1] bifidus[2] pisiiki2[2]
Knowledge Exploitation [MOR]                       0.13      0.175     ComparePrices[1]
Sensation Gorger [MOR]                             0.145     0.195     supernova02[1]
Gilt-Leaf Archdruid [MOR]                          0.2       0.27      tina16[1] supernova01[1] mteamtester[4]
Countryside Crusher [MOR]                          0.21      0.29      bifidus[4] supernova02[2]
Lightning Crafter [MOR]                            0.24
Grimoire Thief [MOR]                               0.25      0.33      mteamtester[1]
Preeminent Captain [MOR]                           0.29
Kinsbaile Cavalier [MOR]                           0.31      0.42      pisiiki2[3]
Taurean Mauler [MOR]                               0.37      0.48      pisiiki2[2]
Chameleon Colossus [MOR]                           0.46      0.62      supernova02[1] ComparePrices[1]
Murmuring Bosk [MOR]                               0.66      0.88      tina16[1]
Leaf-Crowned Elder [MOR]                           0.92
Reveillark [MOR]                                   1         1.25      pisiiki2[1]
Shared Animosity [MOR]                             1
Door of Destinies [MOR]                            1.55
Idyllic Tutor [MOR]                                2.5
Bitterblossom [MOR]                                5.85      7.15      ComparePrices[1]
Mutavault [MOR]                                    9.35
Scapeshift [MOR]                                   18
Vendilion Clique [MOR]                             25        27.5      tina16[1]

=== Shadowmoor === [Total Buy/Sell Value: 41/51] =================================================================================================

